page,para_index,ratio,has_bbox,char_start,char_end
1,0,0.0,1,-1,-1
1,1,0.0,1,-1,-1
1,2,0.0,1,-1,-1
1,3,0.0,1,-1,-1
1,4,0.0,1,-1,-1
1,5,0.0,1,-1,-1
1,6,0.0,1,-1,-1
1,7,0.0,1,-1,-1
1,8,0.0,1,-1,-1
1,9,0.0,1,-1,-1
1,10,0.0,1,-1,-1
1,11,0.0,1,-1,-1
1,12,0.0,1,-1,-1
1,13,0.0,1,-1,-1
1,14,0.0,1,-1,-1
1,15,0.0,1,-1,-1
1,16,0.0,1,-1,-1
1,17,0.0,1,-1,-1
1,18,0.0,1,-1,-1
1,19,0.0,1,-1,-1
1,20,0.0,1,-1,-1
2,21,0.0,1,-1,-1
2,22,0.0,1,-1,-1
2,23,0.0,1,-1,-1
2,24,0.0,1,-1,-1
2,25,0.0,1,-1,-1
2,26,0.0,1,-1,-1
2,27,0.0,1,-1,-1
2,28,0.0,1,-1,-1
2,29,0.0,1,-1,-1
2,30,0.0,1,-1,-1
2,31,0.0,1,-1,-1
2,32,0.0,1,-1,-1
2,33,0.0,1,-1,-1
2,34,0.0,1,-1,-1
2,35,0.0,1,-1,-1
2,36,0.0,1,-1,-1
2,37,0.0,1,-1,-1
2,38,0.0,1,-1,-1
2,39,0.0,1,-1,-1
2,40,0.0,1,-1,-1
2,41,0.0,1,-1,-1
2,42,0.0,1,-1,-1
3,43,0.0,1,-1,-1
3,44,0.0,1,-1,-1
3,45,0.0,1,-1,-1
3,46,0.0,1,-1,-1
3,47,0.0,1,-1,-1
3,48,0.0,1,-1,-1
3,49,0.0,1,-1,-1
3,50,0.0,1,-1,-1
3,51,0.0,1,-1,-1
3,52,0.0,1,-1,-1
3,53,0.0,1,-1,-1
3,54,0.0,1,-1,-1
3,55,0.0,1,-1,-1
3,56,0.0,1,-1,-1
3,57,0.0,1,-1,-1
